# step Upe Ubond  Pxx Pyy Pzz Pxy Pxz Pyz Ugauss[0] Ugauss[1] Ugauss[2] 
56000 3.54856e+06 605741 3.98161 3.98339 3.716 0.000261367 0.000220439 0.00127646 1.43371e+06 398796 1.11031e+06 2.93817e-35 
57000 3.54845e+06 605834 3.98201 3.98391 3.71572 -0.000491713 -0.000939731 -0.000481302 1.43297e+06 400913 1.10873e+06 2.93817e-35 
58000 3.5486e+06 606173 3.98309 3.98208 3.71496 -0.000726612 0.00187247 -0.000898668 1.43138e+06 400861 1.11019e+06 2.93817e-35 
59000 3.55013e+06 607681 3.97885 3.98001 3.71582 -2.93558e-05 0.00211742 -0.000110746 1.43288e+06 399900 1.10967e+06 2.93817e-35 
60000 3.5492e+06 606685 3.9827 3.98093 3.7145 -0.000488919 0.00129942 -8.62407e-05 1.43247e+06 400225 1.10981e+06 2.93817e-35 
61000 3.54956e+06 606781 3.98222 3.98146 3.71496 -9.48178e-05 0.000245266 0.0013817 1.43442e+06 396805 1.11155e+06 2.93817e-35 
62000 3.54859e+06 605998 3.98336 3.981 3.71607 -0.00061325 0.000524112 -0.000967974 1.43289e+06 399417 1.11028e+06 2.93817e-35 
63000 3.54946e+06 607005 3.98068 3.98199 3.71514 -0.000663477 -0.00109737 -0.000145922 1.43317e+06 399033 1.11025e+06 2.93817e-35 
64000 3.54865e+06 605877 3.98261 3.98339 3.71449 -0.000125839 -1.3657e-05 0.000698584 1.43246e+06 401296 1.10901e+06 2.93817e-35 
65000 3.54928e+06 606714 3.98105 3.98205 3.71527 0.000255029 0.00173606 -0.00186832 1.43174e+06 401956 1.10887e+06 2.93817e-35 
66000 3.54904e+06 606634 3.97981 3.98311 3.71501 0.000529145 -0.000396536 -0.000818799 1.43278e+06 400257 1.10936e+06 2.93817e-35 
67000 3.54803e+06 605457 3.98204 3.98408 3.71615 0.00169129 -0.000241271 -0.00130083 1.43304e+06 400115 1.10942e+06 2.93817e-35 
68000 3.54867e+06 606200 3.98337 3.98181 3.71523 0.00113428 0.00129925 -0.00190079 1.43294e+06 401589 1.10795e+06 2.93817e-35 
69000 3.55031e+06 607554 3.98093 3.97885 3.71608 0.000484977 -8.93758e-05 -0.00031896 1.43302e+06 402097 1.10764e+06 2.93817e-35 
70000 3.54832e+06 605750 3.98227 3.98239 3.71669 0.00160599 -0.000823187 -0.000909963 1.43147e+06 402010 1.10909e+06 2.93817e-35 
71000 3.54871e+06 606223 3.981 3.98273 3.71615 -0.000724364 -0.000452617 -0.00123251 1.43178e+06 400877 1.10983e+06 2.93817e-35 
72000 3.54944e+06 606497 3.98182 3.98152 3.71546 -1.42804e-05 -0.00144002 -0.00208046 1.43287e+06 400027 1.11005e+06 2.93817e-35 
73000 3.54795e+06 605274 3.98383 3.98418 3.71469 -0.000872526 -0.000698779 -0.00108136 1.43179e+06 401392 1.1095e+06 2.93817e-35 
